Year,Journal_Name,DOI
2017,IEEE SYSTEMS JOURNAL,10.1109/JSYST.2015.2410533
2016,IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE-JTEHM,10.1109/JTEHM.2016.2623787
2018,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/LRA.2018.2864359
2019,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/LRA.2018.2888628
2019,IEEE ROBOTICS AND AUTOMATION LETTERS,10.1109/LRA.2019.2921928
2011,IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,10.1109/MAES.2011.5763338
2019,IEEE CONSUMER ELECTRONICS MAGAZINE,10.1109/MCE.2019.2923934
2020,IEEE CONSUMER ELECTRONICS MAGAZINE,10.1109/MCE.2019.2953741
2004,IEEE Computer Graphics & Applications,10.1109/MCG.2004.1297006
2012,IEEE Computer Graphics & Applications,10.1109/MCG.2012.110
2014,IEEE Computer Graphics & Applications,10.1109/MCG.2014.103
2014,IEEE Computer Graphics & Applications,10.1109/MCG.2014.117
2014,IEEE Computer Graphics & Applications,10.1109/MCG.2014.82
2015,IEEE Computer Graphics & Applications,10.1109/MCG.2015.102
2015,IEEE Computer Graphics & Applications,10.1109/MCG.2015.98
2018,IEEE Computer Graphics & Applications,10.1109/MCG.2017.2801407
2018,IEEE Computer Graphics & Applications,10.1109/MCG.2018.021951628
2018,IEEE Computer Graphics & Applications,10.1109/MCG.2018.111125628
2018,IEEE COMPUTER GRAPHICS AND APPLICATIONS,10.1109/MCG.2018.2875609
2018,IEEE Computer Graphics & Applications,10.1109/MCG.2018.2875609
2019,IEEE Computer Graphics & Applications,10.1109/MCG.2018.2884272
2019,IEEE COMPUTER GRAPHICS AND APPLICATIONS,10.1109/MCG.2019.2915717
2019,IEEE Computer Graphics & Applications,10.1109/MCG.2019.2915717
2020,IEEE COMPUTER GRAPHICS AND APPLICATIONS,10.1109/MCG.2019.2936753
2020,IEEE Computer Graphics & Applications,10.1109/MCG.2019.2936753
2019,IEEE Communications Magazine,10.1109/MCOM.001.1800876
2020,COMPUTING IN SCIENCE & ENGINEERING,10.1109/MCSE.2020.2972822
2014,IEEE Micro,10.1109/MM.2014.94
2014,IEEE PULSE,10.1109/MPUL.2014.2355298
2020,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,10.1109/TASE.2019.2945607
2020,IEEE Transactions on Automation Science & Engineering,10.1109/TASE.2019.2945607
2018,IEEE TRANSACTIONS ON BROADCASTING,10.1109/TBC.2018.2811627
2018,IEEE Transactions on Broadcasting,10.1109/TBC.2018.2811627
2005,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2005.848378
2009,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,10.1109/TBME.2009.2028013
2009,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2009.2028013
2018,IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS,10.1109/TCDS.2018.2828865
2019,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,10.1109/TCE.2018.2879065
2019,IEEE Transactions on Consumer Electronics,10.1109/TCE.2018.2879065
2020,IEEE Transactions on Circuits & Systems for Video Technology,10.1109/TCSVT.2019.2953827
2019,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,10.1109/TDSC.2018.2800048
2017,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,10.1109/THMS.2016.2611824
2018,IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,10.1109/THMS.2017.2782490
2015,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,10.1109/TIE.2014.2334675
2015,IEEE Transactions on Industrial Electronics,10.1109/TIE.2014.2334675
2019,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,10.1109/TLT.2019.2926727
2020,IEEE Transactions on Medical Imaging,10.1109/TMI.2019.2926501
2018,IEEE TRANSACTIONS ON MULTIMEDIA,10.1109/TMM.2018.2829187
2020,IEEE TRANSACTIONS ON MULTIMEDIA,10.1109/TMM.2019.2931807
2020,IEEE TRANSACTIONS ON MULTIMEDIA,10.1109/TMM.2019.2933338
2008,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,10.1109/TNSRE.2008.922676
2013,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,10.1109/TNSRE.2012.2237040
2017,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,10.1109/TNSRE.2016.2626391
2019,IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,10.1109/TNSRE.2019.2931778
2018,IEEE TRANSACTIONS ON HAPTICS,10.1109/TOH.2017.2741488
2020,IEEE TRANSACTIONS ON HAPTICS,10.1109/TOH.2020.2965937
2018,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,10.1109/TPC.2018.2804238
2018,IEEE Transactions on Professional Communication,10.1109/TPC.2018.2804238
2009,IEEE TRANSACTIONS ON ROBOTICS,10.1109/TRO.2009.2028765
2009,IEEE Transactions on Robotics,10.1109/TRO.2009.2028765
2006,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2006.55
2007,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2007.37
2011,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2010.248
2012,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2011.278
2011,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2011.41
2012,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2012.45
2013,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2013.43
2014,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2014.18
2015,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2015.2391853
2015,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2015.2391858
2015,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2015.2391860
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2015.2473855
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2518079
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2518098
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2518135
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2518137
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2518298
2016,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2520921
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2527649
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2586071
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2016.2601607
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2653117
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2656958
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2656979
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2657139
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2657238
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2658570
2017,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2735098
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2754257
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2017.2778249
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2793038
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2793698
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2794071
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2794119
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2794629
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2794639
2018,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2018.2868527
2019,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2898736
2019,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2898763
2019,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2898782
2019,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2932173
2019,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2932215
2019,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2932239
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2019.2934395
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2020.2973053
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2020.2973075
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2020.2973441
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2020.2973442
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2020.2973473
2020,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10.1109/TVCG.2020.2973498
2020,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,10.1111/bjet.12946
2016,Computer Graphics Forum,10.1111/cgf.12956
2016,COMPUTER GRAPHICS FORUM,10.1111/cgf.13026
2016,Computer Graphics Forum,10.1111/cgf.13026
2019,COMPUTER GRAPHICS FORUM,10.1111/cgf.13654
2019,Computer Graphics Forum,10.1111/cgf.13757
2019,COMPUTER GRAPHICS FORUM,10.1111/cgf.13780
2019,Computer Graphics Forum,10.1111/cgf.13780
2018,DEVELOPMENTAL SCIENCE,10.1111/desc.12557
2017,EUROPEAN JOURNAL OF NEUROSCIENCE,10.1111/ejn.13545
2019,EUROPEAN JOURNAL OF NEUROSCIENCE,10.1111/ejn.14499
2008,ACADEMIC EMERGENCY MEDICINE,10.1111/j.1553-2712.2008.00191.x
2018,JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING,10.1111/jspn.12201
2018,PSYCHOPHYSIOLOGY,10.1111/psyp.13090
2019,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,10.1111/rssa.12381
2019,Journal of the Royal Statistical Society: Series A (Statistics in Society),10.1111/rssa.12381
2019,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,10.1111/sms.13453
2018,TRAFFIC,10.1111/tra.12538
2014,JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,10.1115/1.4027114
2016,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4033230
2019,JOURNAL OF MECHANICAL DESIGN,10.1115/1.4041428
2019,JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,10.1115/1.4043068
2006,JOURNAL OF ELECTRONIC IMAGING,10.1117/1.2189211
2019,JOURNAL OF ELECTRONIC IMAGING,10.1117/1.JEI.28.1.013019
2019,AMERICAN JOURNAL OF PHYSICS,10.1119/1.5080224
2008,JOURNAL OF SPORT REHABILITATION,10.1123/jsr.17.1.38
2019,INTERNATIONAL JOURNAL OF SEMANTIC COMPUTING,10.1142/S1793351X19400166
2018,INTERNATIONAL JOURNAL OF MODELING SIMULATION AND SCIENTIFIC COMPUTING,10.1142/S1793962318400020
1996,JAPANESE JOURNAL OF APPLIED PHYSICS PART 1-REGULAR PAPERS SHORT NOTES & REVIEW PAPERS,10.1143/JJAP.35.3121
2007,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/1227134.1227139
2007,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/1265957.1265961
2007,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/1278387.1278392
2009,ACM Transactions on Applied Perception,10.1145/1498700.1498702
1993,ACM TRANSACTIONS ON INFORMATION SYSTEMS,10.1145/159161.173948
1993,COMMUNICATIONS OF THE ACM,10.1145/159544.159587
2010,ACM Transactions on Applied Perception,10.1145/1823738.1823744
2012,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/2134203.2134206
2013,ACM TRANSACTIONS ON GRAPHICS,10.1145/2508363.2508366
2015,ACM Transactions on Applied Perception,10.1145/2699254
2015,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/2720020
2015,ACM TRANSACTIONS ON GRAPHICS,10.1145/2766939
2016,ACM TRANSACTIONS ON GRAPHICS,10.1145/2897824.2925883
2016,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/2971320
2016,ACM TRANSACTIONS ON GRAPHICS,10.1145/2980179.2980246
2016,ACM TRANSACTIONS ON GRAPHICS,10.1145/2980179.2980252
2016,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,10.1145/2983530
2017,ACM TRANSACTIONS ON GRAPHICS,10.1145/3072959.3073624
2017,ACM TRANSACTIONS ON GRAPHICS,10.1145/3072959.3073645
2017,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/3106155
2018,ACM TRANSACTIONS ON GRAPHICS,10.1145/3182644
2018,ACM TRANSACTIONS ON GRAPHICS,10.1145/3197517.3201335
2018,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,10.1145/3205864
2018,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,10.1145/3209661
2018,MOBILE COMPUTING AND COMMUNICATIONS REVIEW,10.1145/3229316.3229320
2018,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/3230648
2018,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,10.1145/3232678
2018,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/3238301
2018,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/3238303
2018,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,10.1145/3265755
2019,ACM TRANSACTIONS ON APPLIED PERCEPTION,10.1145/3313902
2019,ACM COMPUTING SURVEYS,10.1145/3329119
2019,ACM Computing Surveys,10.1145/3329119
2019,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,10.1145/3335053
2019,ACM TRANSACTIONS ON GRAPHICS,10.1145/3355089.3356490
2019,ACM TRANSACTIONS ON GRAPHICS,10.1145/3355089.3356517
2019,ACM TRANSACTIONS ON GRAPHICS,10.1145/3355089.3356530
2019,ACM TRANSACTIONS ON GRAPHICS,10.1145/3355089.3356552
2019,ACM TRANSACTIONS ON GRAPHICS,10.1145/3355089.3356557
2019,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,10.1145/3362101
2014,BIOMED RESEARCH INTERNATIONAL,10.1155/2014/206082
2018,MOBILE INFORMATION SYSTEMS,10.1155/2018/2585797
2018,WIRELESS COMMUNICATIONS & MOBILE COMPUTING,10.1155/2018/4798359
2019,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,10.1155/2019/9680697
2001,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/1054746011470226
2001,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/1054746011470271
2005,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/1054746053967012
1998,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/105474698565811
1999,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/105474699566152
1999,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/105474699566341
2016,COMPUTER MUSIC JOURNAL,10.1162/COMJ_a_00372
2018,LEONARDO,10.1162/leon_a_01641
2018,NETWORK NEUROSCIENCE,10.1162/netn_a_00044
2006,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres.15.5.588
2007,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres.16.1.111
2007,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres.16.4.399
2008,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres.17.6.575
2009,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres.18.3.232
1997,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres.1997.6.1.118
2010,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/PRES_a_00005
2010,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/pres_a_00016
2011,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/PRES_a_00048
2012,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/PRES_a_00089
2012,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/PRES_a_00111
2018,PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,10.1162/PRES_a_00318
2017,PSYCHOLOGY IN RUSSIA-STATE OF THE ART,10.11621/pir.2017.0310
2020,MULTISENSORY RESEARCH,10.1163/22134808-20201445
2010,JOURNAL OF VISION,10.1167/10.13.11
2017,JOURNAL OF VISION,10.1167/17.9.11
2018,JOURNAL OF VISION,10.1167/18.9.1
2018,TRANSLATIONAL VISION SCIENCE & TECHNOLOGY,10.1167/tvst.7.4.2
2019,TRANSLATIONAL VISION SCIENCE & TECHNOLOGY,10.1167/tvst.8.1.23
2019,HUMAN FACTORS,10.1177/0018720819835088
2019,HUMAN FACTORS,10.1177/0018720819836343
2019,HUMAN FACTORS,10.1177/0018720819867501
2019,PERCEPTUAL AND MOTOR SKILLS,10.1177/0031512519857869
2012,CLINICAL REHABILITATION,10.1177/0269215511419383
2019,CLINICAL REHABILITATION,10.1177/0269215518788598
2019,INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,10.1177/0278364919842925
2018,TRANSPORTATION RESEARCH RECORD,10.1177/0361198118758311
2019,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,10.1177/0735633119854025
2019,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,10.1177/0735633119854030
2019,SIMULATION & GAMING,10.1177/1046878118820905
2019,Simulation & Gaming,10.1177/1046878118820905
2004,CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,10.1177/1063293X04042469
2019,CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,10.1177/1354856517738171
2020,JOURNAL OF VISUAL CULTURE,10.1177/1470412920906260
2019,DEMENTIA-INTERNATIONAL JOURNAL OF SOCIAL RESEARCH AND PRACTICE,10.1177/1471301219868036
2019,INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS,10.1177/1550147719894533
2018,SURGICAL INNOVATION,10.1177/1553350618761756
2019,SURGICAL INNOVATION,10.1177/1553350618822860
2018,INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,10.1177/1729881417751545
2020,HERD-HEALTH ENVIRONMENTS RESEARCH & DESIGN JOURNAL,10.1177/1937586720924787
2017,I-PERCEPTION,10.1177/2041669517708205
2017,BRITISH JOURNAL OF PAIN,10.1177/2049463717698349
2020,JOURNAL OF REHABILITATION AND ASSISTIVE TECHNOLOGIES ENGINEERING,10.1177/2055668320913770
2014,BMC BIOINFORMATICS,10.1186/1471-2105-15-56
2013,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/1743-0003-10-80
2007,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/1743-0003-4-35
2011,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/1743-0003-8-36
2019,BMC BIOINFORMATICS,10.1186/s12859-019-2666-z
2017,BMC OPHTHALMOLOGY,10.1186/s12886-017-0501-8
2020,BMC OPHTHALMOLOGY,10.1186/s12886-020-01471-4
2019,BIOMEDICAL ENGINEERING ONLINE,10.1186/s12938-019-0731-5
2016,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/s12984-016-0174-1
2017,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/s12984-017-0225-2
2019,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/s12984-019-0601-1
2020,JOURNAL OF NEUROENGINEERING AND REHABILITATION,10.1186/s12984-020-00678-2
2018,HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES,10.1186/s13673-018-0154-5
2019,HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES,10.1186/s13673-019-0169-6
2019,FASHION AND TEXTILES,10.1186/s40691-018-0166-9
2007,ONCOLOGY NURSING FORUM,10.1188/07.ONF.39-46
2018,JOURNAL OF ELECTRONICS & INFORMATION TECHNOLOGY,10.11999/JEIT170995
2019,JOURNAL OF GLOBAL ONCOLOGY,10.1200/JGO.18.00263
2017,NEUROLOGY,10.1212/WNL.0000000000004585
2019,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,10.1249/MSS.0000000000002016
2019,ACOUSTICAL SCIENCE AND TECHNOLOGY,10.1250/ast.40.265
2019,MEDICAL SCIENCE MONITOR,10.12659/MSM.915284
2002,CHINESE SCIENCE BULLETIN,10.1360/02tb9297
2015,APPLIED OPTICS,10.1364/AO.54.003422
2016,APPLIED OPTICS,10.1364/AO.55.006969
2019,APPLIED OPTICS,10.1364/AO.58.000A74
2018,BIOMEDICAL OPTICS EXPRESS,10.1364/BOE.9.002825
2018,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,10.1364/JOSAA.35.00B130
2018,OPTICS EXPRESS,10.1364/OE.26.001161
2018,OPTICS EXPRESS,10.1364/OE.26.004863
2018,OPTICS EXPRESS,10.1364/OE.26.034142
2019,OPTICS EXPRESS,10.1364/OE.27.001164
2019,OPTICS EXPRESS,10.1364/OE.27.024877
2020,OPTICS EXPRESS,10.1364/OE.382804
2011,PLOS ONE,10.1371/journal.pone.0016128
2011,PLOS ONE,10.1371/journal.pone.0025759
2012,PLOS ONE,10.1371/journal.pone.0030021
2012,PLOS ONE,10.1371/journal.pone.0040867
2016,PLOS ONE,10.1371/journal.pone.0148060
2016,PLOS ONE,10.1371/journal.pone.0167523
2017,PLOS ONE,10.1371/journal.pone.0173972
2017,PLOS ONE,10.1371/journal.pone.0187220
2017,PLOS ONE,10.1371/journal.pone.0187777
2018,PLOS ONE,10.1371/journal.pone.0189275
2018,PLOS ONE,10.1371/journal.pone.0194137
2018,PLOS ONE,10.1371/journal.pone.0195886
2018,PLOS ONE,10.1371/journal.pone.0200724
2019,PLOS ONE,10.1371/journal.pone.0214603
2020,PLOS ONE,10.1371/journal.pone.0223631
2019,PLOS ONE,10.1371/journal.pone.0225972
2020,PLOS ONE,10.1371/journal.pone.0230042
2020,PLOS ONE,10.1371/journal.pone.0231152
2018,INTERNATIONAL JOURNAL OF GRID AND DISTRIBUTED COMPUTING,10.14257/ijgdc.2018.11.2.09
2018,INTERNATIONAL JOURNAL OF GRID AND DISTRIBUTED COMPUTING,10.14257/ijgdc.2018.11.6.09
2015,Journal of Digital Convergence,10.14400/JDC.2015.13.8.465
2017,Journal of Digital Convergence,10.14400/JDC.2017.15.11.463
2017,Journal of Digital Convergence,10.14400/JDC.2017.15.5.353
2017,Journal of Digital Convergence,10.14400/JDC.2017.15.5.443
2018,Journal of Digital Convergence,10.14400/JDC.2018.16.11.185
2019,INTERNATIONAL JOURNAL OF TECHNOLOGY,10.14716/ijtech.v10i7.3259
2017,AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY,10.14742/ajet.3840
2015,International Journal of Computer Applications in Technology,10.1504/IJCAT.2015.069331
2001,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,10.1504/IJTM.2001.002917
2019,SCANDINAVIAN JOURNAL OF PAIN,10.1515/sjpain-2018-0123
2007,HUMAN FACTORS,10.1518/001872007779598028
1997,HUMAN FACTORS,10.1518/001872097778827070
1999,HUMAN FACTORS,10.1518/001872099779611067
2004,HUMAN FACTORS,10.1518/hfes.46.1.142.30384
2017,REVISTA EDUCACION EN INGENIERIA,10.15675/gepros.v12i1.1605
2016,PLASMA AND FUSION RESEARCH,10.1585/pfr.11.2406060
2015,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,10.1587/transinf.2015EDP7165
2016,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,10.1587/transinf.2016EDL8028
2017,JOURNAL OF EYE MOVEMENT RESEARCH,10.16910/jemr.10.5.2
2019,JOURNAL OF EYE MOVEMENT RESEARCH,10.16910/jemr.12.8.1
2016,JOURNAL OF EYE MOVEMENT RESEARCH,10.16910/jemr.9.6.4
2017,INTERNATIONAL JOURNAL OF SERIOUS GAMES,10.17083/ijsg.v4i3.178
2018,REVISTA LATINOAMERICANA DE TECNOLOGIA EDUCATIVA-RELATEC,10.17398/1695-288X.17.1.61
2015,EKSPERIMENTALNAYA PSIKHOLOGIYA,10.17759/exppsy.2015080205
2018,MM SCIENCE JOURNAL,10.17973/MMSJ.2018_11_2017100
2020,NORDISK SYGEPLEJEFORSKNING-NORDIC NURSING RESEARCH,10.18261/issn.1892-2686-2020-01-02
2019,Ingénierie des Systèmes d'Information,10.18280/isi.240310
2018,TOMOGRAPHY,10.18383/j.tom.2018.00053
2016,TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,10.18421/TEM54-04
2018,SENSORS AND MATERIALS,10.18494/SAM.2018.1912
2018,ECONOMICS AND BUSINESS REVIEW,10.18559/ebr.2018.3.4
2018,Economics & Business Review,10.18559/ebr.2018.3.4
2017,JOURNAL OF DISASTER RESEARCH,10.20965/jdr.2017.p0882
